,userID,contactID,date_day,date_month,date_year,date_hour,date_minute,date_second
0,8,28371,4,10,2010,2,14,19
1,8,40306,3,10,2010,12,33,9
2,8,85279,2,10,2010,3,10,48
3,8,91764,4,10,2010,22,43,47
4,8,97723,12,10,2010,3,28,33
5,8,105468,11,10,2010,15,6,8
6,8,106690,30,9,2010,19,27,13
7,32,3203,13,8,2010,16,36,31
8,32,7978,26,7,2010,5,54,43
9,32,8670,14,8,2010,9,22,46
10,32,12847,14,9,2010,14,34,49
11,32,83734,21,7,2010,10,5,7
12,57,9145,23,6,2008,5,5,8
13,57,9152,3,8,2009,11,55,49
14,57,23849,28,7,2008,10,58,21
15,57,29455,21,6,2008,4,7,8
16,57,65215,30,6,2008,18,22,3
17,57,85166,16,7,2008,12,35,59
18,57,101198,28,6,2008,17,49,32
19,147,19354,11,10,2006,18,24,40
20,147,19622,10,9,2006,5,56,9
21,147,22728,24,11,2006,15,36,11
22,147,27421,25,9,2007,23,13,19
23,147,30118,3,7,2007,16,11,55
24,147,31053,25,9,2007,23,13,22
25,147,33163,3,7,2007,16,11,52
26,147,35908,3,7,2007,16,12,1
27,147,38536,3,7,2007,16,12,33
28,147,38853,3,7,2007,16,11,53
29,147,44414,3,7,2007,16,12,9
30,147,45368,11,10,2006,18,24,32
31,147,47658,29,2,2008,20,29,39
32,147,50538,25,9,2007,23,12,49
33,147,54173,25,9,2007,23,13,17
34,147,55826,9,2,2008,12,16,37
35,147,56555,3,11,2006,19,45,53
36,147,56742,28,9,2006,14,21,44
37,147,60219,25,9,2007,23,13,24
38,147,70781,11,10,2006,18,25,2
39,147,72740,3,7,2007,16,11,53
40,147,73561,25,9,2007,23,13,17
41,147,75061,25,9,2007,23,13,17
42,147,78003,28,9,2006,14,56,22
43,147,85755,17,8,2007,3,35,31
44,147,87453,4,12,2007,20,22,46
45,147,87499,3,7,2007,16,11,58
46,147,88108,28,9,2006,14,21,44
47,147,88649,11,10,2007,21,22,57
48,147,89560,3,7,2007,16,11,57
49,147,90178,4,12,2007,5,2,15
50,147,90442,25,9,2007,23,12,50
51,147,91138,28,9,2006,14,21,35
52,147,93282,3,7,2007,16,11,53
53,147,94771,11,10,2006,18,24,37
54,147,99246,11,10,2006,19,4,10
55,147,105832,11,10,2006,18,24,39
56,233,2716,17,5,2007,17,17,45
57,242,6704,12,7,2010,20,16,11
58,242,45650,13,7,2007,5,50,2
59,259,11568,4,10,2007,15,31,32
60,302,8232,13,10,2006,4,27,6
61,302,28061,27,2,2007,8,34,24
62,319,22091,15,9,2007,23,4,27
63,319,57151,19,9,2006,20,9,45
64,319,59208,17,8,2006,0,49,39
65,319,89224,4,5,2006,16,18,55
66,319,96577,23,9,2007,2,33,31
67,336,29658,21,1,2010,11,26,12
68,372,5584,2,8,2009,16,7,26
69,372,41072,27,9,2007,21,37,10
70,372,65754,3,6,2008,16,21,37
71,372,93030,9,8,2009,19,24,13
72,427,21127,30,6,2009,14,2,54
73,485,27229,13,6,2006,21,28,28
74,485,44046,11,5,2006,19,16,49
75,485,49978,19,10,2006,20,59,29
76,485,84972,24,5,2006,6,0,43
77,485,89549,30,7,2006,3,5,18
78,485,95152,7,8,2006,21,27,56
79,485,97386,11,10,2006,4,0,31
80,521,78592,26,6,2008,7,24,44
81,521,79054,28,4,2009,5,18,44
82,538,16972,21,1,2009,19,33,19
83,620,71735,22,7,2010,20,39,23
84,620,73515,22,6,2008,20,57,38
85,788,1263,27,2,2010,12,14,5
86,788,1423,28,1,2009,22,35,5
87,788,10680,26,8,2010,5,41,9
88,788,17308,9,9,2009,16,12,6
89,788,17711,16,3,2009,19,55,23
90,788,19812,23,4,2009,1,38,52
91,788,21566,15,5,2009,3,10,41
92,788,25795,23,6,2010,20,39,12
93,788,28115,11,7,2009,3,10,37
94,788,30669,29,8,2009,12,39,32
95,788,31272,1,9,2009,4,28,32
96,788,31503,3,4,2009,1,12,14
97,788,31994,7,6,2009,20,47,23
98,788,37851,19,3,2009,15,41,36
99,788,40001,13,5,2010,2,52,40
100,788,41461,24,4,2009,3,27,19
101,788,41911,1,10,2009,2,4,43
102,788,42525,24,1,2010,6,33,28
103,788,44166,23,6,2010,3,12,36
104,788,49031,4,4,2009,1,4,19
105,788,49329,15,3,2010,4,57,44
106,788,51379,28,5,2009,14,4,17
107,788,51985,15,9,2009,14,30,34
108,788,52177,25,1,2009,16,49,7
109,788,52355,7,7,2010,18,22,41
110,788,54005,16,5,2009,14,45,10
111,788,55395,14,2,2010,2,3,1
112,788,59979,20,3,2009,2,16,59
113,788,60349,6,6,2009,21,43,58
114,788,60597,18,1,2010,20,5,26
115,788,61823,19,3,2009,9,45,25
116,788,63285,14,9,2009,19,33,16
117,788,64432,10,9,2010,7,30,30
118,788,64555,19,12,2009,2,36,42
119,788,71664,22,12,2009,7,29,55
120,788,76566,24,2,2009,21,6,40
121,788,78108,4,8,2009,17,9,45
122,788,80417,21,3,2009,21,56,56
123,788,83503,19,12,2009,22,51,41
124,788,92968,7,12,2009,23,17,21
125,788,93594,26,4,2009,3,29,1
126,788,96951,1,6,2009,19,6,11
127,788,100668,3,8,2009,20,22,39
128,788,100884,19,3,2009,23,55,21
129,788,101946,3,6,2010,15,46,48
130,788,102218,1,3,2009,16,39,37
131,788,102248,17,12,2009,16,46,31
132,788,102824,14,4,2009,2,40,18
133,788,106833,17,3,2010,8,1,35
134,819,45897,11,4,2008,13,39,38
135,819,80924,11,9,2007,22,24,43
136,913,17855,8,3,2010,20,10,37
137,934,2300,25,9,2010,14,0,18
138,934,30201,29,9,2010,1,11,20
139,934,35259,27,9,2010,19,49,32
140,934,49058,29,9,2010,2,56,21
141,934,49408,2,10,2010,0,13,59
142,934,53002,25,9,2010,17,6,33
143,934,57359,21,9,2010,2,16,40
144,934,72005,28,9,2010,4,41,25
145,934,75998,27,9,2010,14,32,25
146,934,79828,22,9,2010,3,50,36
147,934,104426,20,9,2010,21,57,7
148,970,26954,21,1,2008,17,53,18
149,970,39694,21,1,2008,23,47,34
150,970,41610,21,1,2008,11,4,53
151,970,54333,5,7,2006,4,41,30
152,970,63930,4,5,2006,16,18,55
153,970,76601,18,12,2006,21,49,25
154,1016,40625,10,11,2007,15,8,5
155,1016,66073,7,2,2008,19,26,56
156,1016,83675,2,5,2008,18,52,56
157,1016,87923,13,7,2006,21,30,40
158,1016,92302,28,7,2007,17,5,11
159,1033,71493,5,5,2009,21,14,54
160,1049,10192,22,2,2007,19,54,12
161,1049,92465,24,9,2007,16,21,35
162,1094,102129,15,7,2009,19,46,16
163,1103,33703,4,5,2006,16,18,55
164,1103,52867,4,5,2006,16,18,55
165,1103,66759,28,11,2007,13,39,4
166,1103,87652,1,4,2008,18,21,21
167,1113,5424,10,3,2007,23,24,46
168,1113,75182,8,11,2006,13,8,39
169,1113,96703,3,11,2006,12,46,36
170,1149,12708,30,10,2006,8,37,41
171,1149,50255,8,3,2007,7,47,52
172,1263,788,26,2,2010,2,31,23
173,1263,9145,25,8,2010,10,23,0
174,1263,12299,13,7,2009,17,34,28
175,1263,19812,3,1,2009,10,27,53
176,1263,21779,21,8,2010,21,41,37
177,1263,23849,31,3,2009,11,49,34
178,1263,32598,4,11,2009,18,51,28
179,1263,40523,5,6,2008,18,13,46
180,1263,41461,24,8,2010,22,53,58
181,1263,42525,14,2,2010,6,2,58
182,1263,44166,15,12,2008,1,21,52
183,1263,44871,30,11,2009,13,30,39
184,1263,45276,15,12,2008,1,51,45
185,1263,47252,4,5,2010,0,44,25
186,1263,49031,19,10,2009,2,21,13
187,1263,49268,10,12,2008,10,31,26
188,1263,51379,28,10,2008,22,12,57
189,1263,52177,1,12,2008,12,47,49
190,1263,53624,31,10,2008,18,47,5
191,1263,58464,6,6,2010,17,2,5
192,1263,59979,3,1,2009,14,15,6
193,1263,60597,2,9,2009,9,41,40
194,1263,61937,9,6,2008,16,54,51
195,1263,62346,10,12,2008,1,36,17
196,1263,75445,12,2,2009,5,13,31
197,1263,80743,27,6,2008,9,6,36
198,1263,81173,3,1,2009,1,50,24
199,1263,82073,25,1,2009,20,52,30
200,1263,84229,22,5,2008,21,40,31
201,1263,86268,24,11,2008,22,59,46
202,1263,92419,12,8,2008,20,42,11
203,1263,94282,2,8,2009,9,48,35
204,1263,100668,1,3,2008,20,44,1
205,1263,100884,14,12,2008,23,39,17
206,1263,101063,9,10,2008,17,29,38
207,1263,101198,17,11,2008,17,48,15
208,1263,101946,16,12,2008,16,23,16
209,1263,102185,21,6,2010,19,30,42
210,1296,22563,27,5,2007,6,26,12
211,1320,65423,2,2,2007,16,2,25
212,1320,75324,15,5,2008,14,31,17
213,1328,9766,18,4,2009,6,59,23
214,1328,12417,18,5,2007,2,9,7
215,1328,98097,15,3,2009,7,25,1
216,1352,102362,15,6,2006,10,4,21
217,1423,788,12,1,2009,21,7,46
218,1423,19812,15,9,2008,3,56,3
219,1423,23849,14,3,2008,17,30,32
220,1423,28115,19,5,2009,16,30,55
221,1423,30669,8,7,2008,17,56,12
222,1423,30712,24,9,2007,23,32,17
223,1423,31272,18,8,2009,1,39,23
224,1423,31994,12,7,2008,23,52,47
225,1423,35010,27,6,2008,6,23,3
226,1423,37851,12,2,2009,1,32,10
227,1423,41461,8,4,2009,8,45,33
228,1423,41911,18,7,2008,17,38,14
229,1423,44166,22,2,2008,3,23,37
230,1423,44712,15,9,2008,2,39,35
231,1423,49031,7,2,2007,4,23,55
232,1423,49329,3,8,2009,1,50,59
233,1423,49394,11,5,2009,4,12,4
234,1423,51985,11,9,2008,16,41,27
235,1423,52177,27,4,2007,2,52,36
236,1423,53624,21,2,2008,7,26,0
237,1423,59979,10,6,2008,21,47,47
238,1423,60597,9,10,2009,18,11,21
239,1423,61823,1,3,2008,23,22,55
240,1423,63285,12,8,2009,6,45,52
241,1423,64555,9,10,2009,23,24,14
242,1423,64649,9,9,2007,13,56,44
243,1423,66713,14,8,2009,14,29,46
244,1423,68174,1,7,2008,5,15,11
245,1423,70831,19,11,2008,21,8,25
246,1423,76566,24,11,2008,9,54,12
247,1423,78108,31,3,2008,19,57,53
248,1423,78257,27,9,2009,18,2,8
249,1423,80743,6,3,2008,5,28,16
250,1423,81173,28,7,2008,21,53,13
251,1423,82073,25,1,2009,6,44,58
252,1423,89990,25,1,2008,3,30,16
253,1423,92968,14,3,2008,2,42,45
254,1423,96951,13,7,2008,13,4,44
255,1423,101946,14,5,2007,18,0,12
256,1423,102248,4,8,2008,20,39,38
257,1423,104274,17,11,2008,14,31,23
258,1423,107636,26,8,2008,0,37,28
259,1455,3646,23,6,2010,18,11,13
260,1455,9307,28,2,2010,13,48,38
261,1455,17430,7,8,2010,13,46,45
262,1476,75490,20,4,2007,2,9,50
263,1476,104398,12,8,2007,20,45,44
264,1505,19634,27,6,2007,16,2,55
265,1505,54473,27,6,2007,16,4,58
266,1505,62398,27,6,2007,16,6,38
267,1505,104768,27,6,2007,16,2,47
268,1557,2570,5,5,2008,13,51,58
269,1557,12804,16,4,2008,12,34,37
270,1557,28153,24,3,2008,1,14,5
271,1557,34807,9,4,2008,16,53,19
272,1557,38984,29,7,2008,16,58,7
273,1557,41379,15,3,2008,4,49,36
274,1557,51543,22,6,2008,20,2,18
275,1557,53806,18,4,2008,12,33,31
276,1557,68017,22,5,2008,17,58,54
277,1557,84365,26,5,2008,20,56,52
278,1557,87302,31,1,2008,17,26,32
279,1557,88649,1,3,2008,19,23,43
280,1557,89391,27,3,2008,21,38,4
281,1557,107005,17,6,2008,19,31,38
282,1557,107361,31,1,2008,0,44,5
283,1701,41379,21,11,2006,3,33,26
284,1701,87652,4,5,2006,16,18,55
285,1701,97386,24,12,2008,4,29,40
286,1701,105661,16,2,2008,23,40,13
287,1751,18588,23,6,2007,14,10,52
288,1751,35374,14,11,2007,22,47,35
289,1751,42074,27,2,2008,3,23,43
290,1751,45573,11,11,2006,14,27,6
291,1751,72465,21,2,2008,1,42,17
292,1751,75626,9,6,2007,20,13,14
293,1751,82630,23,9,2007,4,25,51
294,1751,87192,7,3,2008,16,46,7
295,1751,88649,7,1,2007,23,29,7
296,1751,100111,13,9,2008,12,52,30
297,1751,101721,4,5,2008,10,59,13
298,1751,105986,3,7,2008,2,49,39
299,1774,71214,18,5,2008,16,44,38
300,1822,69602,18,8,2006,5,20,16
301,1856,11604,4,5,2006,16,18,55
302,1856,79706,22,2,2007,17,28,55
303,1887,6888,17,10,2010,13,13,16
304,1887,6897,16,10,2010,19,5,30
305,1887,61581,17,10,2010,13,15,7
306,1887,77671,17,10,2010,12,57,15
307,1887,91905,17,10,2010,13,12,26
308,1887,94028,17,10,2010,13,7,8
309,1933,11853,5,7,2006,6,59,28
310,1933,12690,7,9,2006,11,32,7
311,1933,12751,7,1,2007,18,26,25
312,1933,21307,14,5,2007,19,10,37
313,1933,23486,30,1,2008,17,30,5
314,1933,23992,8,8,2006,19,59,49
315,1933,26036,5,7,2006,17,47,42
316,1933,31602,13,8,2008,16,32,37
317,1933,45748,15,1,2009,16,2,42
318,1933,46052,28,1,2007,12,14,52
319,1933,46409,8,3,2008,23,57,51
320,1933,48457,4,5,2006,16,18,55
321,1933,52515,17,5,2006,6,9,15
322,1933,56067,1,3,2008,14,39,5
323,1933,72924,4,6,2008,12,37,50
324,1933,73688,4,5,2006,16,18,55
325,1933,75803,4,5,2006,16,18,55
326,1933,77302,2,6,2006,7,56,2
327,1933,84229,20,5,2008,21,52,21
328,1933,86928,9,9,2006,20,36,33
329,1933,95152,27,1,2007,1,17,44
330,1933,95606,4,11,2006,19,38,12
331,1933,99093,1,8,2006,6,28,29
332,1933,101787,27,9,2009,9,51,6
333,1952,22743,6,10,2006,15,44,49
334,1952,55773,6,5,2008,9,20,4
335,1952,72551,2,7,2006,11,31,28
336,1952,79486,2,10,2008,16,8,30
337,1952,90877,28,3,2008,16,13,17
338,1952,93902,26,3,2008,11,46,32
339,1952,106931,14,1,2008,21,7,15
340,1987,73128,4,5,2006,16,18,55
341,1987,80924,21,4,2007,3,21,31
342,1987,98013,4,5,2006,16,18,55
343,2022,98636,19,6,2007,11,49,37
344,2032,64859,11,2,2009,15,25,21
345,2032,65077,12,2,2009,12,58,59
346,2032,79959,10,2,2009,18,13,52
347,2032,83619,20,2,2009,12,41,13
348,2032,95587,16,2,2009,23,39,49
349,2055,22507,26,12,2007,19,12,12
350,2128,35921,7,7,2010,0,33,38
351,2151,12690,22,5,2007,21,57,20
352,2151,27624,22,11,2008,22,47,48
353,2151,31602,21,9,2010,0,35,53
354,2151,52515,4,5,2006,16,18,55
355,2151,70048,23,10,2006,11,40,8
356,2151,74110,12,11,2007,4,46,8
357,2151,81597,21,11,2007,10,39,43
358,2151,84229,3,12,2007,22,43,30
359,2232,20104,9,4,2007,17,16,22
360,2232,66662,9,4,2007,17,11,7
361,2232,70647,9,4,2007,17,17,30
362,2232,77066,9,4,2007,17,12,23
363,2232,79911,9,4,2007,17,11,41
364,2232,87192,9,4,2007,17,48,18
365,2232,98127,9,4,2007,17,27,57
366,2300,934,25,9,2010,14,37,21
367,2300,22791,23,9,2009,23,44,11
368,2300,24346,18,9,2009,2,27,26
369,2300,25515,17,11,2008,23,17,18
370,2300,35259,27,9,2010,19,49,38
371,2300,40146,17,9,2009,16,16,2
372,2300,43204,16,9,2009,18,7,26
373,2300,49408,2,10,2010,0,11,58
374,2300,53002,25,9,2010,17,6,27
375,2300,54425,24,9,2009,4,58,51
376,2300,57359,18,9,2010,14,26,52
377,2300,69062,22,11,2008,14,47,46
378,2300,72574,25,9,2009,18,14,52
379,2300,74053,23,9,2009,19,54,36
380,2300,75998,27,9,2010,14,30,32
381,2300,79828,26,9,2010,19,32,21
382,2300,81392,18,9,2009,3,12,13
383,2300,81484,11,12,2008,8,40,17
384,2300,83844,10,7,2008,22,59,28
385,2300,89391,1,11,2008,20,34,12
386,2300,91262,19,11,2008,14,41,57
387,2300,94012,17,9,2009,23,20,23
388,2300,104426,28,9,2010,1,51,58
389,2300,105759,24,9,2009,15,54,6
390,2315,10740,6,3,2008,22,24,50
391,2315,23351,26,6,2010,22,33,16
392,2315,35480,27,5,2008,12,25,57
393,2315,87760,8,9,2007,15,43,52
394,2330,16205,5,3,2009,2,54,59
395,2330,51188,13,10,2007,16,0,54
396,2330,85506,22,7,2008,0,23,55
397,2367,88649,14,5,2008,1,8,17
398,2367,100111,17,2,2008,21,18,17
399,2393,22445,14,10,2010,14,52,35
400,2393,38668,14,10,2010,14,22,41
401,2393,41759,14,10,2010,14,47,48
402,2393,55301,14,10,2010,14,48,41
403,2393,58602,14,10,2010,14,54,11
404,2393,91446,14,10,2010,14,57,11
405,2393,92318,14,10,2010,14,54,26
406,2393,95874,14,10,2010,14,55,55
407,2393,96895,14,10,2010,14,54,50
408,2393,99481,14,10,2010,14,24,12
409,2437,17807,11,1,2007,15,36,21
410,2437,25936,24,9,2007,14,50,12
411,2437,64050,20,9,2007,13,21,2
412,2437,73226,2,6,2008,23,10,24
413,2437,80036,7,4,2008,12,6,29
414,2437,93463,23,1,2007,8,29,33
415,2437,96588,12,8,2009,8,54,18
416,2462,54441,20,8,2010,14,17,3
417,2487,14030,10,8,2007,1,58,12
418,2487,26642,18,5,2010,12,28,7
419,2487,29455,4,1,2009,11,28,30
420,2487,43070,5,7,2007,4,50,2
